,Title,Ingredients,Instructions,Image_Name,Price
208,Bitter Greens Salad with Melted Cheese,"3 tablespoons red wine vinegar, Extra-virgin olive oil, Kosher salt and freshly ground pepper, 1 large head radicchio (3/4 pound), cored and coarsely shredded, 5 ounces arugula, 1/4 pound Crucolo, provolone, Taleggio, or Fontina cheese, grated, 1/2 cup roughly chopped lightly toasted hazelnuts, Saba or balsamic vinegar, for drizzling","Heat the broiler to high.
Whisk the red wine vinegar with 1/4 cup olive oil in a large bowl and season generously with salt and pepper. Add the radicchio and arugula and toss to coat them nicely. Taste and adjust the seasoning.
Pile the salad on ovenproof plates or an ovenproof platter and top with the cheese. Broil the salad just until the cheese is melted, about 1 minute. Sprinkle the toasted hazelnuts on top and finish with a drizzle of saba. Serve right away.",bitter-greens-salad-with-melted-cheese,18.6
209,3-Ingredient Korean Grilled Chicken Wings with Scallion,"2 pounds chicken wings (flats and drumettes attached or separated), 1 tablespoon vegetable oil, 1 teaspoon kosher salt, plus more, 1/2 teaspoon freshly ground black pepper, plus more, 1/2 cup gochujang (Korean hot pepper paste), 1 scallion, thinly sliced on the bias","Pat wings very dry with paper towels. Toss wings, oil, 1 tsp. salt, and 1/2 tsp. pepper in a large bowl to coat.
Prepare a grill for two zones, medium and medium-high, or heat a grill pan over medium. Working in batches if necessary, grill wings over medium heat, turning occasionally, until skin is starting to brown and fat is rendering, about 12 minutes. Move wings to medium-high zone of grill or increase heat under grill pan to medium-high. Cook wings, moving to a cooler section of grill or reducing heat if they start to burn, until cooked through, an instant-read thermometer inserted into the flesh but not touching the bone registers 165°F, and skin is crisp and lightly charred, 5–10 minutes.
Meanwhile, whisk gochujang and 1/4 cup hot water in a large bowl.
Transfer wings to bowl with gochujang and toss to coat. Transfer to a platter. Top with scallions, season with salt and pepper, and serve immediately.",3-ingredient-korean-grilled-chicken-wings-with-scallion,30.14
210,Shaker Lemon Pie,"2 medium lemons, 2 cups sugar, ""Pastry for a 9-inch single-crust pie, such as Barry Maidens Butter/Shortening Piecrust"", 4 eggs, beaten well, 2 tablespoons all-purpose flour, 1/4 teaspoon salt","Using your sharpest knife (a serrated knife is ideal), trim each lemon to remove the stem end and tip. Slice each lemon crosswise, as thinly as you can possibly do it, into paper-thin circles. If you can drape them over the knife blade like the watches in Salvador Dali's surrealistic paintings, you're on the right track. Scoop up as much of the escaping lemon juices as you work, and add them to the bowl of sliced lemons.
Chop the thinly sliced lemons coarsely, so that the largest pieces of lemon rind and pith are only 1 inch long, again gathering escaping juices back into the bowl for their flavor.
Add the sugar to the bowl of lemons, and stir to mix them together really well. Cover and set aside at room temperature, for at least 3 hours and as long as overnight. Stir occasionally with a big spoon, to mix everything together well.
Heat the oven to 450 degrees F. Line a 9-inch pie pan with crust, leaving a 1-inch overhang.
Add the eggs, flour, and salt to the bowl of sugary lemons. Stir to mix everything evenly and well. Pour this filling into the piecrust.
Use a little water to wet the top rim of pastry around the piecrust. Roll the remaining dough into a 10-inch circle and place it carefully over the filling. Trim away the extra pastry, leaving a 1-inch overhang extending beyond the rim of the pie pan. Fold the crust up and over, and crimp it decoratively. Or press the tines of a fork into the pastry rim, working around the pan to make a design. Cut 8 steam vents in the top of the pie, so that steam can escape and the pie's juices can bubble up.
Place the pie on a baking sheet and place it on the middle shelf of the oven. Bake for 15 minutes. Reduce the heat to 375 degrees F and bake until the filling is bubbling and thickened, and the pastry crust is cooked and handsomely browned, 25 to 35 minutes more. Place the pie on a cooling rack or a folded kitchen towel and let cool to room temperature.",shaker-lemon-pie-361949,10.22
211,"Spelt Crust Pizza with Fennel, Prosciutto, and Apples","2 cups whole grain spelt flour (8 ounces), 2 teaspoons baking powder, 3/4 teaspoon fine sea salt, 1/2 teaspoon sugar, 1 cup whole-milk ricotta cheese, 1/4 cup whole milk, 2 tablespoons linseed oil or extra-virgin olive oil, 1 large egg, Coarse cornmeal, if using a pizza peel, 4 or 5 green onions, 1 cup sour cream, 1/4 cup drained nonpareil capers, 3/4 teaspoon freshly ground black pepper, 1 Granny Smith apple, halved, cored, and sliced very thinly, 1 fennel bulb, halved lengthwise, cored, and sliced very thinly, 4 ounces thinly sliced prosciutto, cut crosswise into 1/2-inch-wide strips, Linseed or extra-virgin olive oil, for brushing","1 First, make the dough. To prepare the dough by hand: Whisk together the spelt flour, baking powder, salt, and sugar in a large bowl. Make a well in the center. In a small bowl, combine the ricotta, milk, linseed oil, and the egg and beat with a fork until smooth. Pour the ricotta mixture into the well. Combine with a dough whisk or a fork, stirring from the center and gradually incorporating the flour from the sides until a fairly moist dough comes together. To prepare the dough by food processor: Place the spelt flour, baking powder, salt, and sugar in the bowl and process for about 10 seconds. In a small bowl, combine the ricotta, milk, linseed oil, and the egg and beat with a fork until smooth. Pour the ricotta mixture across the top of the flour mixture and pulse, in 1-second intervals, just until a ball forms, 5 to 10 pulses. The dough will be fairly moist.
2 Transfer the dough to a well-floured work surface. Lightly flour your hands and briefly knead 5 to 7 turns to get a smooth yet slightly tacky dough. Wrap the dough in plastic wrap and let sit at room temperature for 30 to 45 minutes to allow the bran in the flour to soften.
3 Meanwhile, place a baking stone on a rack on the bottom shelf and preheat oven to 425°F. Liberally sprinkle a pizza peel with coarse cornmeal. Finely chop the white and light green parts of the green onions until you have 1/2 cup. Combine them with the sour cream, capers, and 1/4 teaspoon of the pepper in a small bowl. Finely chop the dark green parts as well (about 1/4 cup) and set aside for garnish.
4 Unwrap the dough, transfer to a lightly floured work surface and cut into 2 pieces. Keep 1 piece covered with plastic wrap. Lightly flour your hands and briefly knead the other until smooth, 7 to 10 turns. Using a rolling pin, roll the dough into an elongated pizza, 11 by 8 inches and about 1/4 inch thick. Do this in stages, occasionally turning the dough over and rolling it out further, lightly flouring your work surface and the rolling pin each time. Place the dough on the pizza peel. Spread half of the sour cream topping across, leaving a 1/2-inch border. Cover with half of the apple slices, top with half of the fennel slices, and sprinkle with half of the prosciutto. Brush the border with oil.
5 Slide the dough onto the baking stone and bake until the fennel just starts to brown at the edges and the rim turns golden brown and starts to crisp — it should yield when pressed with a finger — about 15 minutes. Use a large spatula to lift the edges of the pizza so you can slide the peel underneath; carefully transfer the pizza to a wooden board. Sprinkle with half of the reserved green onions and 1/4 teaspoon of the pepper. Cut with a sharp knife and serve at once. Repeat with the second pizza.",spelt-crust-pizza-with-fennel-prosciutto-and-apples-366669,25.74
212,Blueberry Tartlets with Lime Curd,"1/2 cup sugar, 1/3 cup fresh lime juice, 4 large egg yolks, 5 tablespoons unsalted butter, cut into 1/2-inch cubes, 1 1/2 teaspoons grated lime peel, 1 1/2 cups all purpose flour, 3 tablespoons sugar, 1/4 teaspoon salt, 1/2 cup (1 stick) chilled unsalted butter, cut into 1/2-inch cubes, 3 tablespoons (about) chilled whipping cream, 1 large egg yolk, 3 1/2-pint baskets blueberries, 1 tablespoon sugar","Whisk sugar and lime juice in heavy medium saucepan to blend. Whisk in yolks, then butter. Cook over medium-low heat until thick, smooth, and just beginning to bubble, stirring constantly, about 8 minutes. Remove from heat. Mix in lime peel. Transfer to small bowl. Press plastic wrap onto surface of curd. Refrigerate until cold, at least 4 hours. (Can be made 4 days ahead. Keep refrigerated.)
Blend flour, sugar, and salt in processor 5 seconds. Add butter and cut in, using on/off turns, until mixture resembles coarse meal. Add 2 tablespoons cream and egg yolk. Using on/off turns, blend until moist clumps form, adding more cream by teaspoonfuls if dough is dry. Shape dough into log. Cut crosswise into 8 equal rounds. Press each round over bottom and up sides of 3 3/4x3/4-inch tartlet pan with removable bottom. Pierce crusts with fork. Chill at least 1 hour and up to 1 day.
Place 1/2 cup berries and sugar in heavy small saucepan. Using fork, mash berries coarsely. Cook mixture over medium heat until beginning to simmer, stirring often, about 5 minutes. Using rubber spatula, push as much of mixture as possible through strainer set over medium bowl. Mix remaining blueberries into strained berries. Set topping aside.
Preheat oven to 375°F. Bake tartlet crusts until lightly golden, pressing any bubbles with back of fork, about 15 minutes. Cool crusts completely on rack.
Spread curd in crusts. Spoon blueberry topping over. (Can be prepared ahead. Let stand at room temperature up to 2 hours or refrigerate up to 1 day.)",blueberry-tartlets-with-lime-curd-106663,36.74
213,Black Barley With Mushroom Broth,"1 cup black barley, 12 crimini or white button mushrooms, stems and caps separated, 4 bay leaves, 1 tablespoon kosher salt, plus more, 4 large eggs, 1 small red or watermelon radish, trimmed, thinly sliced, 1/4 cup kimchi, thinly sliced, Small cilantro sprigs and olive oil (for serving)","Place barley in a medium bowl and add 3 cups cold water to cover. Cover and chill at least 12 hours.
Drain barley, reserving soaking liquid. Bring barley, mushroom stems, bay leaves, and 5 cups water to a boil in a large saucepan. Add 1 Tbsp. salt, then reduce heat and simmer very gently, stirring occasionally, until barley is tender and liquid is almost completely evaporated, 80–90 minutes. Drain and transfer to a rimmed baking sheet to cool. Pluck out mushroom stems and bay leaves and discard.
While the barley is cooking, bring a medium saucepan of water to a boil and gently lower eggs into boiling water. Cook 6 minutes; transfer eggs to a bowl of ice water with a slotted spoon and let cool. Carefully peel; set aside.
Thinly slice mushroom caps and place half in a medium saucepan with reserved barley soaking liquid. Bring to a boil, then simmer until soaking liquid has taken on mushroom flavor, 10–12 minutes. Season with salt. Strain through a fine-mesh sieve into a medium bowl.
Divide barley among bowls. Top with radish and remaining sliced mushrooms. Cut eggs in half lengthwise and tuck into barley, yolk sides up. Nestle kimchi next to eggs. Pour mushroom broth over, dividing evenly. Garnish with cilantro and drizzle with oil.
Barley can be soaked 1 day ahead. Keep chilled.",black-barley-with-mushroom-broth,19.9
214,Crunchy Quinoa Salad,"1 cup uncooked quinoa, 2 cups vegetable broth, 3 (2-inch) strips of lemon zest (see hints below), 1 1/2 cups asparagus, sliced into 1/2-inch pieces, 1 cup snow peas, cut in half, 1/2 cup kohlrabi, peeled and sliced into thin strips, 1/3 cup radishes, thinly sliced, 3 tablespoons lemon juice, 2 tablespoons chopped fresh chives, 2 tablespoons chopped fresh parsley, 1 tablespoon chopped fresh cilantro (optional), 1 teaspoon chopped fresh mint, Freshly ground pepper, Dash sea salt","Rinse the quinoa well and place it in a pot with the vegetable broth and bring to a boil. Reduce the heat, stir in the pieces of lemon zest, cover, and cook for 15 minutes. Remove from the heat, stir, and remove and discard the pieces of lemon zest. Allow the quinoa to cool slightly.
Meanwhile, put a large pot of water on the stove to boil, drop the asparagus and snow peas into the boiling water, and cook for 2 to 3 minutes, until crisp-tender (do not overcook; the vegetables should still be slightly firm). Remove from the pot with a slotted spoon and drop into a bowl of ice water. Drain. Combine the cooked quinoa, asparagus, snow peas, kohlrabi, and radishes in a large bowl. Add the remaining ingredients and mix well. Season with freshly ground black pepper and sea salt, if desired. Chill for 1 to 2 hours before serving to allow flavors to mingle.",crunchy-quinoa-salad,5.59
215,"Watermelon, Lime, and White Pepper Yogurt Drink","1 1/2 cups [210 g] cubed watermelon, cut in 1-in [2.5-cm] cubes, 1 generous cup [150 g] ice cubes, 1 cup [240 ml] soda water, 1/2 cup [135 g] plain yogurt, 1/4 cup [60 ml] fresh lime juice, 2 Tbsp honey, 1/8 tsp white pepper, Pinch of salt","Blend the watermelon, ice cubes, soda water, yogurt, lime juice, honey, white pepper, and salt in a blender until well combined. Pour into a glass and serve immediately.",watermelon-lime-and-white-pepper-yogurt-drink-baco-los-angeles-recipe,6.15
216,Sun-dried Tomato and Broccoli Pasta,"3 tablespoons olive oil, divided, 1 tablespoon balsamic vinegar, 1 teaspoon pure maple syrup, 1 teaspoon grain-style mustard, 5 cloves garlic, finely chopped, divided, 8 ounces whole-wheat bow-tie pasta, 1/4 cup raw slivered almonds, 1 medium yellow onion, finely chopped, 2 cups broccoli florets, 1/2 cup sun-dried tomatoes in oil, drained and thinly sliced, 1/4 teaspoon salt, 1/8 teaspoon crushed red pepper flakes, 1/4 cup shredded Parmesan","In a bowl, whisk together 2 tablespoons oil, vinegar, syrup, mustard and 2 cloves garlic; set aside. Cook pasta as directed on package until al dente; drain, reserving 1/2 cup cooking water. In a large skillet over medium heat, toast almonds, stirring, 3 minutes; set aside. In same skillet, heat remaining 1 tablespoon oil over medium heat. Sauté onion, 3 minutes. Add broccoli and remaining 3 cloves garlic; cook, stirring occasionally, 8 minutes. Reduce heat to low; add tomatoes and vinegar glaze and cook, stirring, 1 minute. Stir in pasta, salt, red pepper and cooking water as needed to reach desired thickness. Serve topped with Parmesan and almonds.",sun-dried-tomato-and-broccoli-pasta-51188620,25.55
217,Duck à l'Orange,"1 Pekin (Long Island) duck (about 5 1/2 pounds), 1 yellow onion, coarsely chopped, 3 sprigs thyme, 1 celery stalk, coarsely chopped, 1 medium carrot, peeled, halved lengthwise, then crosswise, 5 whole black peppercorns, 3 navel oranges, Kosher salt, freshly ground pepper, 1/4 cup Port","Set giblets from duck aside; reserve liver for another use. Trim skin from both openings of the cavity; set aside for rendering. Cut both leg-thigh pieces off duck. Cut wings from breasts. Carve breasts from carcass for 2 boneless breasts. Trim off wing tips and flats; set aside. Cut carcass into quarters. Cover and chill leg, breast, and wing pieces.
Heat reserved duck skin in a large heavy pot over medium heat. Cook, stirring, until about 2 tablespoons fat is rendered; discard skin. Add giblets, wing tips and flats, carcass pieces, onion, and thyme sprigs. Cook, stirring occasionally, until lightly browned, about 15 minutes. Add celery, carrot, peppercorns, and 6 cups water. Bring to a boil over high heat, skimming any foam that rises to the surface. Reduce heat to medium; simmer duck stock for 1 hour.
Meanwhile, using a sharp knife, cut all peel and white pith from 1 orange; set peel aside. Working over a medium bowl, cut between membranes to release segments into bowl; set aside. Add orange peel to simmering stock. Juice remaining 2 oranges and set juice aside.
Strain stock through a fine-mesh sieve into a medium bowl (you should have about 2 cups). Transfer orange peel to a work surface; discard remaining solids in sieve. Slice peel into thin strips (remove white pith for a more refined look, if desired); set aside. DO AHEAD: Stock can be made 1 day ahead. Cover and chill stock and peel separately.
Prick duck pieces all over with a sharp knife. Season with salt and pepper. Arrange them in a single layer in a large heavy skillet (use 2 if needed), skin side down, and cook over medium heat, occasionally pouring off fat from skillet into a heatproof bowl, until skin is deep golden brown, 18-20 minutes. (Cover and chill fat; save for cooking potatoes or stir-fried rice.)
Turn over duck pieces. Cook breasts, skin side up, until an instant-read thermometer inserted horizontally into thickest part of breast registers 125°F for medium-rare, about 2 minutes. Transfer breasts to a large rimmed baking sheet. Continue cooking legs and wings until well browned on both sides and juices run clear when thigh is pierced with a fork, 10-15 minutes longer. Transfer to sheet with breasts. Pour off fat from skillet, leaving browned bits behind.
Preheat oven to 450°F. Return skillet with browned bits to medium-high heat. Pour in Port and cook, scraping pan with a wooden spoon (the browned bits will add extra flavor to the sauce), until reduced and syrupy, about 2 minutes. Add reserved orange juice and duck stock; boil, stirring occasionally, until sauce is smooth and thickened, about 20 minutes. Season sauce to taste with salt and pepper. Cover and keep warm.
Place rimmed baking sheet with duck pieces in oven. Bake until duck is just heated through, 5-8 minutes.
Pour warm sauce onto a deep platter. Scatter orange segments and strips of peel over. Top with duck pieces.",duck-a-lorange-51117850,26.55
218,Slow-Cooked Squid with Olives and Herbs,"1 1/2 lb. cleaned squid, 1 1/2 oz. smoked Spanish chorizo, thinly sliced (about 1/2 cup), 1 shallot, thinly sliced, 4 garlic cloves, thinly sliced, 4 oil-packed anchovies, 1 red Fresno chile or jalapeño, thinly sliced, 4 Tbsp. extra-virgin olive oil, divided, plus more for drizzling, 1 (28-oz.) can whole peeled tomatoes, Kosher salt, freshly ground pepper, 4 thick slices sourdough bread, 1 cup parsley leaves with tender stems, 1/2 cup mixed pitted green olives, torn if large, 2 Tbsp. fresh lemon juice","Preheat oven to 250°F. Separate squid bodies from tentacles. Cut bodies into 3/4""-thick rings and cut tentacles in half crosswise. Rinse well in a bowl with several changes of cold water. Drain squid and pat dry.
Cook chorizo, shallot, garlic, anchovies, chile, and 2 Tbsp. oil in a medium Dutch oven or other heavy pot over medium heat, stirring often, until chorizo is softened but not yet beginning to crisp and shallot is softened but not yet browned, about 5 minutes. Add tomatoes, finely crushing with your hands as you go, and their juices and squid and bring to a simmer; season lightly with salt and pepper. Cover pot and transfer to oven. Cook until squid is very tender and sauce tastes concentrated, 2–2 1/2 hours. (Uncover the pot for the last 20–30 minutes to allow sauce to evaporate and thicken if needed.) Taste and season with more salt and pepper if needed.
Toast bread until very crisp; drizzle with oil. Place in bowls and top with squid and sauce. Toss parsley, olives, lemon juice, and remaining 2 Tbsp. oil in a small bowl; season lightly with salt. Spoon over squid.
Squid can be cooked 1 day ahead. Let cool; cover and chill.",slow-cooked-squid-with-olives-and-herbs,19.26
219,Second City Diner Veggie Burger,"4 cups water, 1 onion, finely chopped, 3 stalks celery, finely chopped, 1/4 cup low-sodium soy sauce, 2 teaspoons onion powder, 2 teaspoons garlic powder, 1/2 teaspoon freshly ground black pepper, 3 cups rolled oats (not quick-cooking), 12 ounces mushrooms, finely chopped, 1/2 cup white whole wheat flour","Place the water in a large pot with the onion, celery, soy sauce, onion powder, and garlic powder. Bring to a boil, reduce the heat, and simmer for 5 minutes. Stir in the oats, mushrooms, and flour and cook 5 minutes longer. Transfer to a bowl and chill for at least 1 hour, preferably longer.Preheat the oven to 350°F.Shape the mixture into burger-sized patties and place on the baking sheets. Bake for 15 minutes. Remove from the oven and let rest for 5 minutes. Carefully flip over and bake 10 more minutes.Before serving, place the baked patties on a nonstick griddle and grill for about 7 minutes on each side, until browned. Serve on buns with topping of your choice.",second-city-diner-mushroom-veggie-burger,36.47
220,Root Vegetable Tarte Tatin,"1 medium Yukon Gold potato, peeled, sliced into 1/2"" rounds, 1 medium sweet potato, peeled sliced into 1/2"" rounds, 2 medium carrots, peeled, sliced into 1/2"" rounds, 1 medium parsnip, peeled, sliced into 1/2"" rounds, 1 small red onion, sliced into 1/2"" rounds, 1/4 cup olive oil, Kosher salt, freshly ground pepper, 1/3 cup sugar, 1 tablespoon white wine vinegar, 1 1/2 teaspoons chopped fresh rosemary, 1 1/2 teaspoons chopped fresh sage, 4 ounces fresh goat cheese, 1 disk All-Butter Pie Dough, All-purpose flour (for surface)","Place a rack in lower third of oven; preheat to 400°. Toss potato, sweet potato, carrots, parsnip, and onion with oil on a rimmed baking sheet; season with salt and pepper and arrange vegetables in a single layer. Roast until golden around the edges and tender, 30-35 minutes. Let cool.
Meanwhile, cook sugar and 2 tablespoons water in a small saucepan over mediumhigh heat, swirling pan occasionally, until mixture is amber-colored, 5-7 minutes. Remove from heat and add vinegar and a pinch of salt, swirling pan to combine. Quickly pour caramel into a 9""-diameter pie pan; tilt and rotate pan to evenly coat bottom with caramel. Scatter rosemary and sage over top.
Arrange potatoes, carrots, and parsnips snugly in a single layer on top of caramel, using smaller carrot and parsnip pieces to fill in any holes. Scatter onion rings and crumble goat cheese over vegetables.
Roll out dough on a lightly floured surface to a 12"" round. Drape over vegetables, tucking edges into pan. Prick dough all over with a fork. Bake until crust looks dry, about 20 minutes; reduce heat to 350° and bake until crust is golden brown, 15-20 minutes.
Let tart cool 5 minutes before inverting carefully onto a large plate.
Do ahead: Vegetables can be roasted 4 hours ahead. Keep at room temperature.",root-vegetable-tarte-tatin-51263490,15.76
221,Yucatecan -Style Grilled Mahi-Mahi,"4 6-to 8-ounce mahi-mahi fillets, 1/4 cup achiote paste, 2 tablespoons fresh orange juice, 2 tablespoons fresh lime juice, 2 tablespoons distilled white vinegar, 2 garlic cloves, minced, 1 teaspoon dried oregano (preferably Mexican), 1/2 teaspoon coarse kosher salt or sea salt, 1/2 teaspoon ground black pepper, 2 3-foot-long pieces of banana leaves, 2 tablespoons extra-virgin olive oil, 1/4 cup dry white wine, 4 bay leaves, 4 fresh epazote or Italian parsley sprigs or 4 pinches of dried epazote, 2 plum tomatoes, thinly sliced, 2 limes, thinly sliced, Yucatecan Pickled Onions, Habanero-Tomato Salsa","Place fish in 13x9x2-inch glass baking dish. Whisk achiote paste and next 7 ingredients in medium bowl. Pour achiote mixture over fish; turn to coat. Cover and chill 1 hour.
Prepare barbecue (high heat). Brush shiny side of banana leaves with 2 tablespoons oil; place each on baking sheet, oiled side down (some of leaf will hang over edge of sheet). Arrange 2 fillets with marinade still clinging crosswise in center of each banana leaf, spacing 2 inches apart. Drizzle wine around fish in leaves. Top each fillet with 1 bay leaf and 1 sprig of fresh epazote or parsley or 1 pinch of dried epazote. Fold overhanging edges of banana leaf over fish to enclose loosely. Transfer fish from baking sheet to grill, folded edges up. Cover and grill until fillets are just opaque in center, about 10 minutes.
Open banana leaves. Transfer fish to plates. Garnish with tomato and lime slices. Serve with Yucatecan Pickled Onions and Habanero-Tomato Salsa.",yucatecan-style-grilled-mahi-mahi-242125,39.91
222,Steamed Scallion Ginger Fish Fillets with Bok Choy,"1/2 cup light soy sauce, 2 tablespoons sugar, 1/2 cup Shaohsing rice wine, 1/2 teaspoon five-spice powder, 2 pounds sole fillet, cut into 8 pieces, 1 (1-inch) piece fresh ginger, finely julienned, 6 tablespoons vegetable oil, 8 scallions (white and green parts), cut crosswise into 2-inch lengths, then thinly julienned lengthwise, Stir-Fried Baby Bok Choy","In medium bowl, whisk together soy sauce, sugar, rice wine, and five-spice powder.
Transfer fish to 2 rimmed plates. Drizzle each piece with 1 tablespoon soy sauce mixture and scatter with julienned ginger. (Set remaining sauce aside for finishing dish.) Cover and refrigerate 15 minutes.
Fit large saucepan with flat steamer basket, fill with 1 inch water, and bring to boil over high heat. Reduce heat to low and transfer 1 plate to steamer basket. Cover and steam 4 minutes. Without lifting lid, turn off flame and allow residual heat to finish cooking until fish is just cooked through, about 1 minute more. Carefully remove plate (keep warm in oven). Return water in steamer to boil, transfer second plate to steamer, and steam remaining fish in same manner.
While fish is steaming, in small saucepan over moderate heat, heat vegetable oil. Keep warm.
Divide fish among 4 plates and top with julienned scallions. Pour splash of hot oil over each dish. Serve immediately with bok choy.",steamed-scallion-ginger-fish-fillets-with-bok-choy-243067,5.97
223,Sweet Potato Stuffing with Bacon and Thyme,"10 cups 1-inch cubes sourdough baguette with crust (from about 1 1/2 one-pound baguettes), 1 pound thick-cut bacon slices, cut into 1/2-inch pieces, 2 tablespoons (1/4 stick) butter, 6 1/2 cups 3/4-inch cubes peeled redskinned sweet potatoes (yams; about 2 3/4 pounds), 4 cups 1/2-inch onion pieces (from about 2 large onions), 3 cups 1/2- to 3/4-inch celery pieces, 1 1/2 tablespoons chopped fresh thyme, 1 1/4 teaspoons (or more) coarse kosher salt, 1 1/3 cups fresh orange juice, 3 large eggs, 1 1/3 cups low-salt chicken broth","Position rack in center of oven; preheat to 350°F. Spread bread cubes in single layer on large baking sheet; bake until almost firm to touch, about 10 minutes. Cool. DO AHEAD: Can be made 1 day ahead. Store in airtight container at room temperature.
Place bread cubes in extra-large bowl. Cook bacon in heavy large pot over medium heat until crisp. Using slotted spoon, transfer bacon to paper towels to drain.
Pour off and discard all but 3 tablespoons bacon drippings from pot; place pot over medium-high heat. Add butter, then sweet potatoes, onions, celery, thyme, and 1 1/4 teaspoons coarse salt to pot. Sauté until onions are slightly soft but not brown, 6 to 8 minutes. Add orange juice and bring to boil; cook until sweet potatoes are almost tender and juice is almost absorbed, about 5 minutes. Add bacon and sweet potato mixture to bowl with bread cubes. Season with more salt and freshly ground black pepper. Cool slightly. DO AHEAD: Can be made 1 day ahead. Cover; chill.
Preheat oven to 350°F. Butter 15 x 10 x 2- inch glass baking dish. Whisk eggs and 1 1/3 cups chicken broth in medium bowl to blend; add to stuffing and toss to combine. Transfer to prepared baking dish.
Bake stuffing uncovered until top is lightly browned and crisp around edges, 50 minutes to 1 hour.",sweet-potato-stuffing-with-bacon-and-thyme-355798,20.21
224,Perfect Pesto Pasta,"1/2 cup pine nuts, 2 garlic cloves, finely grated, 3 oz. Parmesan, grated, plus more shaved for serving, 6 cups basil leaves (from about 3 bunches), 3/4 cup extra-virgin olive oil, 1 tsp. kosher salt, plus more, 12 oz. dried long pasta, 2 Tbsp. unsalted butter, cut into pieces","Preheat oven to 350°F. Toast pine nuts on a rimmed baking sheet, tossing once, until golden brown, 5–7 minutes. Transfer to a food processor and let cool, 5–7 minutes.
Add garlic and grated Parmesan to food processor and pulse until finely ground, about 1 minute. Add basil and, with the motor running, add oil in a slow and steady stream; continue to process until pesto is mostly smooth with just a few flecks of green remaining, about 1 minute. Pulse in 1 tsp. salt.
Cook pasta in a large pot of boiling salted water, stirring occasionally, until al dente. Drain, reserving 1/2 cup pasta cooking liquid.
Place pesto and butter in a large bowl. Add pasta and 1/4 cup pasta cooking liquid. Toss vigorously with tongs, adding more pasta cooking liquid as needed, until pasta is glossy and well coated with sauce. Taste pasta and season with more salt if needed.
Divide pasta among bowls. Top with shaved Parmesan.
Do Ahead: Pesto can be made 1 day ahead. Pour oil over to cover by 1/4"" to prevent browning. Press plastic wrap directly against surface and chill.",perfect-pesto-pasta,26.03
225,"Creamy Mashed Cauliflower ""Potatoes""","1 small head of cauliflower (about 1 1/2 pounds), chopped, 3 garlic cloves, peeled, 1/4 cup (or more) whole milk, 2 tablespoons unsalted butter, 1 teaspoon kosher salt, plus more, 1/2 teaspoon freshly ground black pepper, plus more, Chopped chives (for serving; optional)","Pour water into a medium pot to a depth of 1/4"". Add cauliflower and garlic and cover pot. Bring to a boil and cook until florets are easily pierced with a paring knife, about 8 minutes. Drain well and transfer to a food processor. Add milk, butter, 1 tsp. salt, and 1/2 tsp. pepper. Purée until smooth, adding more milk if needed. Season to taste with salt and pepper. Top with chives, if using.
Mashed cauliflower made 2 days ahead. Transfer to an airtight container and chill. Rewarm before serving.",creamy-mashed-cauliflower-potatoes,8.07
